שם פרטי,"סך הכל בשנים
1948-2021",1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
פדות,108,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,.,..,.,.,..,..,..,.,.,.,.,..,.,..,.,.,.,..,..,..,..,..,.,6,..,.,..,..,..,6,..,7,..,..,6,..,..,5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
פולה,76,.,.,..,.,.,.,..,..,.,..,.,..,..,..,..,..,.,..,..,..,13,.,..,..,.,..,..,.,.,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.,.,..,.,..,..,..,..,..,..,.,..,..,..,.,.,..,..,.,.,.,..,..,.,..,.,.,.,.,.,..
פולט,31,.,.,.,..,.,.,..,.,.,.,..,.,..,.,..,..,6,..,..,..,..,.,.,.,.,..,.,.,..,..,..,.,.,..,.,.,.,.,.,..,.,.,.,.,.,..,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
פולי,96,.,.,.,.,..,..,.,..,..,.,.,.,.,.,..,.,.,.,.,..,..,..,.,..,..,..,..,..,..,..,.,.,..,.,.,.,.,..,..,..,..,.,..,..,..,.,..,.,..,..,..,.,..,..,.,..,..,.,.,.,..,..,..,.,..,..,..,..,..,..,..,6,10,..
פולינה,127,.,.,.,.,.,.,..,..,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,..,..,.,.,..,..,.,.,.,.,.,.,..,.,5,..,..,6,7,..,..,7,5,7,..,..,5,6,6,6,..,7,..,..,..,..,..,..,..,..,..,..,..,..
פועה,154,7,..,..,5,..,..,5,..,..,.,..,..,..,.,..,..,..,..,..,..,.,.,..,..,..,..,..,.,..,..,.,..,..,..,..,..,..,..,..,..,.,..,..,.,..,..,..,.,..,.,..,.,..,..,..,..,..,..,..,..,..,.,.,.,.,..,.,.,.,..,..,..,.,..
פורטונה,148,.,.,8,7,12,7,5,5,5,5,7,6,5,6,..,..,..,..,..,..,.,.,..,6,..,..,..,.,..,..,..,..,..,..,.,.,..,.,..,.,.,..,.,..,..,..,.,.,..,..,.,.,..,.,..,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,..
פורת,59,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,..,..,..,.,.,..,.,..,..,..,.,..,.,..,.,..,.,..,..,..,..,.,..,..,..,.,.,..,.,..,..,..,..,.,..,..,..,..,5,..,..,..,..,..,..,..,..,..
פז,"1,095",.,.,.,.,.,.,.,..,.,..,..,.,.,..,..,.,..,..,..,..,..,5,..,..,..,5,10,..,..,8,9,..,8,..,..,9,5,8,20,14,18,18,27,24,32,33,79,72,60,78,68,68,40,50,27,31,32,30,19,7,13,13,14,5,9,..,12,10,7,6,8,11,10,9
פזית,"1,258",.,..,..,..,..,..,..,7,5,8,7,11,13,13,12,14,16,23,22,18,37,49,53,73,52,41,49,109,83,87,61,54,53,37,24,25,22,22,26,14,25,15,8,10,12,8,..,..,..,..,..,.,.,..,..,.,.,..,.,.,..,.,.,.,.,..,.,..,.,.,..,.,.,.
פטל,42,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,..,.,..,..,.,.,..,.,..,.,.,..,..,..,..,.,..,..,..,..,..,..,..,..,7,5,..
פיבי,90,.,.,.,.,.,.,.,.,.,.,..,..,..,..,..,..,8,..,..,..,..,..,..,.,..,..,..,..,6,..,.,..,..,..,..,..,..,.,..,..,..,5,..,..,..,5,..,.,..,..,..,.,..,..,.,.,..,.,..,.,.,..,.,.,.,.,.,.,..,.,.,..,..,.
פיגא,"4,020",.,..,7,5,..,10,9,..,..,5,6,5,5,5,7,7,..,.,7,8,9,..,5,9,11,12,12,15,24,14,22,33,24,28,22,25,28,29,33,31,51,52,42,44,39,69,63,66,76,65,63,86,88,79,104,87,82,103,98,105,123,145,149,131,152,137,155,147,143,139,167,177,168,134
פיגה,134,.,..,..,..,..,..,..,..,..,.,..,..,.,..,..,..,..,..,..,..,.,..,..,.,..,..,..,..,..,.,.,..,..,..,..,..,..,..,6,..,.,..,..,6,..,..,..,..,..,..,..,..,..,..,..,..,..,.,..,5,..,..,.,.,.,..,..,..,..,.,..,..,..,..
פייגי,428,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,..,.,..,..,..,.,..,..,..,..,..,..,9,5,5,..,5,..,..,8,..,5,11,8,16,5,10,7,14,6,10,11,15,9,14,14,7,17,11,13,9,9,16,15,20,24,25,18,10,16
פייגל,153,.,.,.,..,.,.,.,..,.,.,.,.,.,..,..,.,.,..,..,..,.,..,..,..,.,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,..,..,..,..,..,..,5,..,..,..,..,..,..,..,..,..,..,..,6,6,..,5,5,5,7,5,5,..,8,5,..,..,6,.
פלא,53,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,..,..,.,..,.,.,..,.,..,..,..,..,..,.,..,..,..,..,..,..,.,..,5,..,5,..,10
פלג,693,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,..,.,.,.,.,.,..,..,.,..,..,5,..,..,6,11,..,8,..,5,10,12,9,10,8,18,20,14,7,17,25,17,22,30,17,24,20,24,32,24,29,31,36,55,35,56,40
פלורה,256,..,..,5,9,9,10,7,..,8,7,7,8,6,10,8,11,14,7,10,5,5,10,6,8,7,..,..,7,..,..,..,5,..,.,..,..,..,.,..,.,..,..,.,..,..,..,.,..,.,..,..,.,..,.,..,.,..,.,..,.,.,.,.,..,.,.,.,..,.,.,.,..,.,.
פלורית,52,.,.,.,.,..,.,.,.,.,.,.,..,..,..,.,.,.,..,..,..,..,..,5,..,..,..,..,..,..,..,..,..,..,..,..,.,..,.,..,.,.,.,..,.,..,..,.,..,.,..,.,.,..,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
פליאה,124,.,.,.,.,.,.,..,.,.,..,.,.,.,.,..,.,.,.,.,.,.,..,.,.,.,.,.,.,.,..,.,..,..,.,..,.,..,.,..,..,..,..,..,.,..,..,..,..,..,..,.,..,5,..,.,..,..,..,.,..,6,..,5,5,6,5,..,7,..,7,.,10,7,6
פני,792,.,..,5,17,6,16,5,12,12,18,18,23,27,21,33,28,18,31,37,25,33,24,23,23,23,26,21,16,19,29,15,18,17,22,13,17,8,7,10,..,8,..,..,..,..,7,..,5,..,..,..,..,..,.,.,..,..,..,..,..,.,.,.,.,.,.,.,.,..,.,..,.,.,..
פנינה,"8,186",78,136,164,209,205,222,197,183,206,193,198,197,176,167,150,140,158,132,148,134,123,113,105,92,99,79,90,87,98,84,52,64,60,82,55,66,76,70,57,65,61,71,61,49,65,66,75,56,71,81,71,74,64,66,74,73,95,83,72,70,80,72,72,79,80,79,90,81,86,81,93,75,91,80
פנינית,215,.,.,.,..,.,.,..,.,.,..,.,.,.,..,..,..,..,..,..,6,6,..,..,..,..,11,9,8,..,6,7,8,5,8,..,7,6,7,7,5,12,9,11,6,..,..,5,..,..,..,..,..,..,..,..,..,.,.,..,.,..,.,.,..,..,.,.,.,.,.,.,..,.,.
פסי,111,..,..,.,..,.,..,..,..,..,.,.,..,..,.,.,.,.,.,.,..,.,.,.,.,..,.,.,.,..,.,.,.,..,.,..,.,.,..,..,.,.,.,..,..,..,5,..,.,..,..,..,5,..,..,.,..,..,..,.,..,..,.,..,..,..,..,5,..,..,..,10,..,7,6
פסיה,809,6,11,16,16,11,9,8,14,9,11,..,..,8,..,12,..,..,..,..,..,..,10,6,11,5,8,5,5,11,9,..,7,9,9,9,5,13,11,6,11,9,8,12,12,12,9,8,6,12,8,11,13,14,9,12,9,6,16,12,12,15,17,17,13,17,23,12,16,17,19,15,22,20,25
פעסי,43,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,.,..,.,.,.,..,.,.,..,..,..,..,.,..,..,..,5,..,..,..,..,..,.,..,..
פעסיא,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,..,.,.,.,.,.,.,.,..,.,.,..,.,.,.,.,.,.,.,.,..,..,.,..,.,..,..,.,..,.,..,.,..,.,..,..,5
פעסיל,151,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,..,..,.,..,..,.,..,..,.,..,.,.,.,..,..,..,.,..,.,.,..,.,..,..,..,..,5,..,8,..,..,..,..,..,6,..,9,7,7,..,5,..,..,5,9,7,..,12,5
פעסל,95,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,..,..,..,.,.,..,.,.,.,.,.,.,.,..,..,.,..,.,.,..,.,..,.,..,..,.,.,..,.,.,.,..,..,..,5,..,5,.,..,..,6,..,..,.,..,..,..,..,..,..,..,.,..,7,..,..,..,..
פערי,85,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,..,.,..,.,.,..,.,..,..,..,..,..,..,..,..,..,..,..,..,..,7,..,6,6,5,7,9,7
פעריל,124,.,.,.,.,.,.,.,..,.,..,.,.,.,.,.,.,..,.,.,..,.,..,.,.,..,..,..,..,..,..,..,.,..,..,.,..,..,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7,6,5,6,6,..,5,..,..,..,..,5,..,..,..,..,..,..
פערל,"1,025",.,.,.,.,..,.,.,.,.,..,.,.,.,.,.,.,.,..,..,.,..,..,..,..,.,..,.,..,..,..,..,..,..,..,6,5,..,..,6,5,7,..,11,..,10,9,7,13,..,11,13,18,23,16,27,23,27,27,30,24,39,37,39,39,39,48,42,49,55,44,57,57,56,65
פעשא,96,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,..,.,.,.,.,.,..,.,.,.,.,.,..,.,.,..,..,..,..,..,.,..,.,.,..,..,..,..,..,..,..,..,..,.,.,..,..,5,.,5,6,..,..,..,..,..,..,..,..,5,..,5,5,..,..,..,..
פקר,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,..,..,.,5,..,..,..,..
פראדי,54,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,..,.,.,.,..,.,.,.,..,.,.,..,.,.,.,..,..,.,.,..,..,..,.,..,..,..,.,..,..,..,.,..,..,5,..,..,..,5,.,..,..,..,..,..,.
פראדל,423,.,.,.,.,..,.,.,..,.,..,..,..,.,..,.,..,.,.,.,.,.,.,.,..,.,..,6,..,.,.,..,.,.,..,..,..,5,.,..,..,.,..,..,..,..,..,7,8,9,6,7,7,5,6,..,10,12,8,14,5,8,15,19,19,20,14,18,9,17,23,23,25,23,27
פרומה,694,..,5,8,7,13,..,7,6,..,6,..,..,5,6,7,..,..,8,5,..,..,..,7,6,5,..,6,5,7,..,..,..,7,6,8,14,5,9,11,8,7,7,7,13,..,7,6,5,5,..,14,11,9,11,12,12,13,18,18,12,12,15,16,19,19,29,10,20,17,19,18,18,23,10
פרומט,344,.,.,..,..,.,.,.,.,.,..,..,.,..,.,.,..,.,..,..,.,.,.,..,.,..,..,..,..,..,..,..,..,..,..,5,..,..,..,6,6,..,..,..,..,7,5,..,..,..,6,6,..,..,9,8,5,7,10,9,10,5,15,11,13,18,13,15,9,11,15,16,12,11,8
פרח,659,..,.,..,6,7,8,10,10,8,..,14,11,8,24,11,15,16,13,13,11,9,10,16,16,15,8,8,16,12,17,13,12,10,8,14,8,18,11,9,21,23,5,17,12,16,20,12,14,11,9,9,10,5,..,14,..,..,..,.,..,..,.,..,..,..,..,..,.,..,..,..,.,..,..
פרחה,202,..,..,..,9,5,12,7,10,12,10,9,12,10,6,7,10,6,6,..,9,6,..,..,..,..,..,..,..,.,..,..,..,.,..,..,..,..,.,.,.,.,.,..,.,..,..,.,.,.,.,..,.,..,.,.,..,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.
פרחיה,375,9,12,11,9,13,14,11,8,6,18,12,13,9,8,7,11,13,14,9,10,6,6,8,8,6,5,7,..,8,6,..,6,..,6,..,5,9,..,..,5,..,..,..,.,.,..,..,.,..,..,..,..,.,..,.,.,..,.,..,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.
פרי,235,.,.,..,..,..,..,.,.,..,..,..,.,..,..,..,..,..,..,..,..,..,..,..,6,6,..,..,6,..,7,5,..,5,6,..,6,..,..,7,5,11,..,8,..,5,..,..,..,..,8,.,..,..,..,..,7,..,..,..,..,5,..,..,..,..,..,..,..,..,..,..,..,..,..
פריאל,902,.,.,.,..,..,..,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,..,.,..,..,..,..,..,..,..,..,..,..,..,6,10,6,11,16,21,20,22,19,19,28,20,15,20,33,27,27,26,28,42,40,47,52,46,39,40,58,49,50,39
פרידא,317,.,.,..,.,..,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,..,.,..,..,.,..,..,..,.,.,..,..,..,..,..,..,..,..,..,5,..,..,..,6,5,.,..,..,..,7,6,6,..,..,..,6,..,7,14,7,10,17,16,17,13,15,15,15,9,12,17,19,16
פרידה,"1,617",22,36,39,46,61,48,34,45,33,37,30,33,27,31,24,19,28,27,21,26,19,21,13,20,17,10,18,18,16,18,14,20,15,18,18,16,19,17,26,16,15,7,23,16,14,10,19,19,18,9,17,9,15,15,12,11,13,..,15,17,11,19,10,11,12,12,10,9,14,9,10,11,9,8
פריידא,657,.,..,.,..,.,.,.,.,..,..,.,..,.,..,.,.,.,..,..,.,.,.,..,..,..,.,..,..,..,..,..,.,..,..,..,7,..,..,5,..,..,6,..,..,..,9,6,5,7,..,7,18,13,15,11,7,17,22,31,24,34,23,19,29,24,35,28,32,22,22,26,50,28,24
פריידה,123,.,.,..,..,..,.,.,.,..,.,.,.,.,.,.,.,.,.,..,..,.,.,.,..,..,6,..,.,.,..,..,..,..,..,.,..,..,..,..,..,6,..,..,..,5,..,..,.,..,5,..,..,..,..,..,..,..,..,..,..,..,..,.,..,..,..,..,..,..,..,..,..,..,.
פריידי,118,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,..,..,.,.,.,.,..,.,..,..,..,.,..,.,..,..,..,.,5,..,..,..,..,..,..,.,..,..,6,.,..,..,..,8,..,..,6,6,9,..,..,..,..,..,6,6,5,..
פריידל,73,..,.,.,.,.,.,.,.,.,.,.,..,..,..,.,.,.,.,.,..,..,..,..,.,.,..,.,.,.,.,..,.,.,.,.,..,..,..,..,..,.,.,5,..,..,..,..,..,.,.,..,..,..,..,.,..,..,..,..,.,..,..,5,..,.,..,..,..,..,..,..,..,..,..
פרל,324,.,..,6,5,..,..,..,..,..,..,..,..,..,.,..,..,..,..,..,..,..,..,..,..,6,..,..,5,..,7,..,8,6,..,..,6,..,..,6,10,7,7,..,..,..,7,11,6,7,..,7,7,6,..,6,8,5,..,..,7,5,5,..,..,..,6,7,6,..,8,7,..,7,5
פרלה,314,.,..,8,6,8,8,..,8,..,6,6,..,5,8,7,7,..,..,..,..,9,5,..,6,..,7,7,8,5,7,5,..,..,..,7,..,..,..,..,6,..,..,..,..,..,.,5,..,..,5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6,..,..,..,8,..,6,8,6,..
צאלה,292,.,.,.,.,.,.,.,..,..,..,..,..,..,.,.,..,..,..,.,6,..,..,..,..,5,6,6,13,8,9,14,5,10,12,8,14,7,7,9,7,5,10,..,..,6,..,..,..,..,..,..,..,..,..,5,6,.,..,5,..,..,5,5,..,..,6,5,..,.,..,..,..,..,.
צביה,"4,176",46,62,81,80,86,87,80,83,78,78,89,85,71,57,67,62,60,67,64,44,50,52,48,52,35,33,40,41,29,40,32,54,27,33,36,39,31,30,24,40,20,35,40,32,45,42,29,40,42,41,45,34,35,47,33,39,49,42,56,69,56,56,53,56,55,64,62,64,74,64,58,54,58,58
צהלה,250,..,.,..,.,..,..,..,..,14,8,..,6,5,..,..,.,..,7,5,9,13,10,6,6,12,8,8,6,..,5,..,9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,..,..,.,..,..,.,..,..,..,5,..,..,..,..,..,.,..,..,5,5,..
צהלי,54,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,..,.,.,.,..,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,..,.,..,.,..,.,.,.,..,..,..,..,.,..,..,..,..,..,.,5,7,..,..,6,..,..,..,.
צוף,294,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,..,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,..,..,..,..,..,.,..,..,9,5,9,11,10,6,11,10,9,5,10,5,7,7,7,5,15,6,6,10,5,5,6,5,5,6,7,15,10,14,8,15,15
צופיה,"2,784",5,7,5,8,5,10,5,8,10,11,14,5,16,8,9,..,9,14,8,17,13,8,7,6,8,5,17,12,7,14,9,13,12,19,12,17,16,26,27,30,28,31,43,39,37,35,34,55,42,53,52,62,70,49,83,74,83,69,69,83,92,89,88,71,103,93,82,82,77,90,101,83,81,59
צופית,530,..,..,..,..,..,.,..,..,..,6,5,..,..,6,..,8,11,..,10,14,5,11,20,21,10,10,11,19,21,26,15,17,18,16,23,18,17,12,8,16,12,14,13,10,10,10,7,8,..,6,..,7,..,..,..,..,..,..,.,5,.,.,..,..,..,.,..,..,.,..,..,.,..,.
צוקית,24,.,.,.,.,..,.,..,.,.,..,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,..,..,.,.,.,.,.,.,.,.,..,.,..,..,.,7,.,..,..,..,..,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
צורי,25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,.,.,..,.,..,..,.,..,..,.,.,..,..,.,..,..,.,..,..,..,5,..
צוריה,148,.,.,.,.,.,.,.,.,.,..,.,.,.,.,..,..,.,.,.,.,.,.,.,.,.,.,.,.,..,..,.,..,.,.,.,..,.,..,..,..,..,..,..,6,..,..,..,5,..,5,..,6,..,..,..,..,..,8,6,5,..,..,8,5,..,..,8,5,..,..,..,..,..,6
צורית,177,.,.,..,.,.,.,.,.,..,.,.,.,..,.,..,.,..,..,.,..,..,5,..,..,7,5,6,..,..,..,6,5,..,..,6,6,5,5,10,6,7,..,..,..,7,7,..,..,.,..,..,..,..,..,..,.,..,..,..,..,..,5,.,.,..,.,.,..,..,.,..,.,.,.
צחית,77,.,.,.,.,.,.,.,.,.,..,.,.,..,.,.,..,.,..,..,..,..,..,..,9,6,5,..,.,..,..,..,6,..,..,..,..,.,..,5,.,..,..,..,.,..,.,.,..,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ציביה,93,..,..,.,..,..,..,..,5,..,..,..,..,..,..,.,..,..,..,..,.,.,..,..,..,.,..,..,.,..,..,.,..,..,..,..,.,..,..,.,..,.,..,..,..,..,..,.,..,.,..,.,.,..,..,..,.,..,.,..,.,..,..,.,..,..,..,..,..,..,..,..,.,..,.
ציון,233,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,..,.,.,.,.,.,.,.,..,.,.,.,..,..,.,5,.,..,.,..,5,5,..,6,..,8,8,7,7,11,9,9,10,15,12,19,14,11,17,12,22
ציונה,"1,890",14,53,176,173,115,86,68,72,75,44,48,64,32,48,43,37,26,34,19,26,19,28,16,12,10,17,14,11,14,6,..,5,6,7,9,7,7,5,..,9,..,5,5,10,10,6,..,12,8,..,5,..,7,8,6,..,..,..,..,..,6,.,..,..,9,..,..,..,..,..,..,..,..,..
צילה,"1,630",28,43,40,40,49,41,39,47,40,33,36,37,41,35,44,37,41,56,31,34,32,43,22,29,22,28,24,21,17,15,12,14,11,15,10,13,9,14,12,12,..,12,8,9,5,8,9,11,..,6,8,8,9,..,6,14,6,8,11,..,5,9,6,7,6,13,22,10,7,10,15,11,9,12
צילי,96,..,..,..,..,..,..,..,..,..,.,.,..,.,..,5,.,..,..,..,..,5,..,..,5,.,5,..,5,..,.,.,..,..,..,..,.,..,..,.,..,.,.,.,.,..,..,.,.,..,..,..,..,.,.,.,.,..,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ציפא,103,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,..,..,.,..,.,..,.,..,.,.,.,.,..,..,..,..,.,..,..,..,..,..,..,..,.,..,.,9,..,7,6,..,9,..,..,..,..,..,7,5
ציפה,85,..,..,..,..,.,.,.,.,.,.,..,..,.,..,.,.,.,..,.,.,.,.,.,.,.,..,.,.,..,.,..,.,..,..,.,..,..,..,..,..,..,.,.,..,.,..,.,..,..,..,..,..,..,.,..,..,..,..,.,..,5,7,..,..,..,..,..,..,..,..,..,..,..,..
ציפי,811,..,9,11,10,14,12,14,30,9,12,23,19,19,15,15,25,22,19,24,13,21,24,16,13,23,26,20,18,23,17,23,16,13,26,17,14,9,11,12,14,6,..,11,5,8,5,..,..,..,..,.,5,..,..,..,..,..,..,5,..,..,..,5,..,5,..,5,..,..,6,6,..,..,..
צירה,108,.,.,.,.,..,.,.,..,..,.,..,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6,..,6,..,..,..,..,.,..,..,.,.,..,..,.,..,..,5,..,..,..,..,..,..,..,.,..,..,.,6,..,..,.,..,.,..,.,.,..,..,.,.,..
צירל,448,.,..,..,..,..,..,..,..,.,..,..,.,..,.,..,..,..,.,..,..,..,.,5,5,..,..,7,5,..,..,..,..,7,5,..,..,7,..,6,7,..,..,..,..,..,5,..,5,5,8,13,7,10,7,12,..,15,17,13,10,11,9,7,11,10,15,20,22,11,11,13,13,15,8
צלה,73,5,..,..,.,..,..,..,..,..,..,..,..,..,..,..,..,..,.,..,.,.,..,..,.,..,..,.,.,.,.,..,.,..,.,.,..,.,.,.,..,..,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..,.,..,.,.,.,.
צליל,"2,006",.,.,.,.,..,.,.,.,.,..,..,.,.,..,..,.,..,..,.,..,.,.,..,..,..,..,..,..,..,..,..,..,.,..,..,..,.,58,215,112,143,144,130,132,105,80,80,81,72,53,55,51,42,39,43,39,30,22,18,12,23,24,18,16,19,13,18,10,16,10,12,14,10,10
צלילה,72,..,..,..,..,.,..,5,..,..,5,..,.,..,..,..,..,..,..,.,..,..,..,..,.,.,..,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.
צמרת,143,.,..,.,.,.,.,.,.,..,..,..,..,..,..,.,..,..,..,8,..,12,9,11,9,12,10,10,10,6,6,..,..,..,..,..,.,.,..,.,..,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,.,.,.,.,.,.,.,.,.,.
צפורה,"12,338",107,208,259,284,333,319,269,282,238,240,251,217,220,245,203,185,190,179,154,128,116,123,113,106,80,108,121,75,105,88,89,110,93,89,119,82,78,106,100,81,86,94,106,110,131,106,120,112,113,123,130,138,122,121,120,132,135,137,144,177,142,183,174,162,183,166,179,178,174,181,195,174,210,186
צפיה,52,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,..,..,.,..,.,.,..,.,..,..,.,.,..,.,..,..,.,..,.,..,.,..,.,..,.,.,..,..,.,..,.,..,..,..,..,..,..,6,..,..,..
צפנת,219,.,..,.,.,.,..,..,..,..,6,..,..,.,..,..,..,..,.,..,.,..,..,6,.,.,..,..,..,5,..,..,6,..,..,..,5,7,6,..,6,8,12,8,..,..,5,6,5,7,..,..,6,..,..,6,6,6,..,..,.,..,..,..,..,..,.,..,..,..,..,..,.,.,..
צפרא,54,.,..,..,..,..,.,..,..,..,..,.,5,..,..,..,.,..,..,..,.,..,.,.,..,.,.,.,.,..,..,.,.,.,.,.,.,..,.,.,.,..,.,.,.,.,..,..,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
צפרירה,220,..,7,10,8,6,..,..,11,..,6,..,7,8,6,7,8,..,..,..,..,..,..,..,.,..,..,..,..,.,..,..,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
צרויה,103,.,.,..,..,.,..,.,.,..,.,..,6,.,.,.,.,.,..,..,.,.,.,.,.,..,..,..,.,..,..,.,..,..,.,.,..,..,..,..,..,..,..,..,..,..,.,.,5,..,.,5,..,.,.,.,..,..,.,..,..,5,..,..,..,..,.,..,..,..,..,..,.,.,.
צרי,61,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,..,.,..,.,.,.,.,..,.,.,..,.,..,..,.,.,..,.,..,..,.,.,..,..,.,..,.,..,..,..,.,..,..,..,..,..,..,5,..,..,5,8
קאטי,25,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,..,..,.,..,.,.,..,..,5,..,..,..,..,.,..,.,..,..,.,.,.,.,..,.,.,.,.,..,.,.,..,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
קאי,103,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,..,.,.,.,.,.,.,.,..,..,.,..,..,.,..,..,..,..,..,.,..,..,9,..,..,..,..,..,..,..,..,..,..,..,..,5,..,5,5,9,8,7
קאיה,64,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..,..,..,..,.,..,..,..,.,.,.,.,..,..,..,.,..,..,..,.,.,..,..,..,..,..,5,..,6,7,9
